I/V Sweep,I/V Sweep (2-point)_Julia
RecordTime,07/09/2025 11:10:54
Device ID,
Count,20
Flag,
Remarks,
V_bias,I_Source,V1,I1,I2
-1,-0.000871116,,,
-0.98000000000000009,-0.00085439400000000007,,,
-0.96000000000000008,-0.00083757,,,
-0.94000000000000006,-0.00082055600000000006,,,
-0.92,-0.000803373,,,
-0.9,-0.00078678700000000005,,,
-0.88,-0.00077017,,,
-0.86,-0.000753133,,,
-0.84000000000000008,-0.00073612900000000008,,,
-0.82000000000000006,-0.000719075,,,
-0.8,-0.000702378,,,
-0.78,-0.00068581400000000008,,,
-0.76,-0.000668635,,,
-0.74,-0.00065153500000000007,,,
-0.72000000000000008,-0.00063473,,,
-0.70000000000000007,-0.000617923,,,
-0.68,-0.000601217,,,
-0.66,-0.000584106,,,
-0.64,-0.00056705300000000009,,,
-0.62,-0.000550283,,,
-0.6,-0.000533399,,,
-0.58000000000000007,-0.000516291,,,
-0.56,-0.00049931500000000007,,,
-0.54,-0.00048246300000000003,,,
-0.52,-0.00046577600000000005,,,
-0.5,-0.000448549,,,
-0.48000000000000004,-0.000431244,,,
-0.46,-0.00041447200000000004,,,
-0.44,-0.000397593,,,
-0.42000000000000004,-0.000380616,,,
-0.4,-0.00036340600000000004,,,
-0.38,-0.000345984,,,
-0.36000000000000004,-0.000329147,,,
-0.34,-0.00031226100000000004,,,
-0.32,-0.000294942,,,
-0.3,-0.000277588,,,
-0.28,-0.000260151,,,
-0.26,-0.00024299,,,
-0.24000000000000002,-0.000225882,,,
-0.22,-0.00020799000000000002,,,
-0.2,-0.00018987500000000002,,,
-0.18000000000000002,-0.00017223500000000002,,,
-0.16,-0.000154489,,,
-0.14,-0.000135747,,,
-0.12000000000000001,-0.00011659300000000001,,,
-0.1,-9.78974E-05,,,
-0.08,-7.81895E-05,,,
-0.060000000000000005,-5.8941300000000004E-05,,,
-0.04,-3.95906E-05,,,
-0.02,-1.95083E-05,,,
0,2.31684E-07,,,
0.02,1.94183E-05,,,
0.04,3.78325E-05,,,
0.060000000000000005,5.5623E-05,,,
0.08,7.2778900000000009E-05,,,
0.1,8.96776E-05,,,
0.12000000000000001,0.000106173,,,
0.14,0.00012155400000000001,,,
0.16,0.000136923,,,
0.18000000000000002,0.000152227,,,
0.2,0.00016740800000000002,,,
0.22,0.000182053,,,
0.24000000000000002,0.00019644,,,
0.26,0.000211301,,,
0.28,0.000226008,,,
0.3,0.000240341,,,
0.32,0.000254593,,,
0.34,0.000268681,,,
0.36000000000000004,0.00028313400000000004,,,
0.38,0.000297636,,,
0.4,0.00031154500000000004,,,
0.42000000000000004,0.000325491,,,
0.44,0.00033942600000000004,,,
0.46,0.00035363100000000003,,,
0.48000000000000004,0.00036791600000000003,,,
0.5,0.000381621,,,
0.52,0.00039533300000000005,,,
0.54,0.000409375,,,
0.56,0.000423456,,,
0.58000000000000007,0.000437238,,,
0.6,0.00045097100000000004,,,
0.62,0.00046460500000000004,,,
0.64,0.000478572,,,
0.66,0.00049263,,,
0.68,0.000506203,,,
0.70000000000000007,0.000519854,,,
0.72000000000000008,0.00053353,,,
0.74,0.000547415,,,
0.76,0.00056142600000000007,,,
0.78,0.000574893,,,
0.8,0.000588341,,,
0.82000000000000006,0.000602175,,,
0.84000000000000008,0.00061596900000000007,,,
0.86,0.000629791,,,
0.88,0.000643296,,,
0.9,0.000656646,,,
0.92,0.00067056900000000009,,,
0.94000000000000006,0.0006843480000000001,,,
0.96000000000000008,0.000697937,,,
0.98000000000000009,0.00071148500000000009,,,
1,0.00072491,,,
