I/V Sweep,I/V Sweep (2-point)_Julia
RecordTime,07/09/2025 11:29:52
Device ID,
Count,44
Flag,
Remarks,
V_bias,I_Source,V1,I1,I2
-1,-0.00374638,,,
-0.98000000000000009,-0.0036717300000000002,,,
-0.96000000000000008,-0.0035974600000000002,,,
-0.94000000000000006,-0.00352082,,,
-0.92,-0.00344459,,,
-0.9,-0.0033687400000000003,,,
-0.88,-0.00329386,,,
-0.86,-0.0032199900000000003,,,
-0.84000000000000008,-0.00314309,,,
-0.82000000000000006,-0.00306639,,,
-0.8,-0.00299169,,,
-0.78,-0.00291681,,,
-0.76,-0.00284222,,,
-0.74,-0.00276589,,,
-0.72000000000000008,-0.00268886,,,
-0.70000000000000007,-0.0026149,,,
-0.68,-0.00254092,,,
-0.66,-0.00246501,,,
-0.64,-0.00238916,,,
-0.62,-0.00231299,,,
-0.6,-0.00223877,,,
-0.58000000000000007,-0.00216519,,,
-0.56,-0.00208873,,,
-0.54,-0.00201251,,,
-0.52,-0.0019377,,,
-0.5,-0.00186318,,,
-0.48000000000000004,-0.00178934,,,
-0.46,-0.00171315,,,
-0.44,-0.0016366,,,
-0.42000000000000004,-0.00156302,,,
-0.4,-0.00148897,,,
-0.38,-0.00141414,,,
-0.36000000000000004,-0.00133874,,,
-0.34,-0.0012625800000000001,,,
-0.32,-0.00118928,,,
-0.3,-0.00111611,,,
-0.28,-0.00104075,,,
-0.26,-0.0009670010000000001,,,
-0.24000000000000002,-0.000891492,,,
-0.22,-0.0008158760000000001,,,
-0.2,-0.000741815,,,
-0.18000000000000002,-0.000668114,,,
-0.16,-0.00059535900000000006,,,
-0.14,-0.00051960900000000009,,,
-0.12000000000000001,-0.00044400200000000004,,,
-0.1,-0.00037014800000000005,,,
-0.08,-0.00029617500000000003,,,
-0.060000000000000005,-0.000223021,,,
-0.04,-0.000147553,,,
-0.02,-7.36283E-05,,,
0,3.2448000000000006E-07,,,
0.02,7.4846200000000009E-05,,,
0.04,0.000145138,,,
0.060000000000000005,0.000216748,,,
0.08,0.000288231,,,
0.1,0.000359297,,,
0.12000000000000001,0.00042822300000000004,,,
0.14,0.000496145,,,
0.16,0.000566547,,,
0.18000000000000002,0.00063633100000000007,,,
0.2,0.00070421900000000007,,,
0.22,0.00077207300000000007,,,
0.24000000000000002,0.000839394,,,
0.26,0.00090852500000000009,,,
0.28,0.000977094,,,
0.3,0.001045163,,,
0.32,0.001112203,,,
0.34,0.00118015,,,
0.36000000000000004,0.00124701,,,
0.38,0.00131361,,,
0.4,0.0013816100000000001,,,
0.42000000000000004,0.00144985,,,
0.44,0.00151552,,,
0.46,0.00158114,,,
0.48000000000000004,0.00164822,,,
0.5,0.00171525,,,
0.52,0.00178207,,,
0.54,0.00184774,,,
0.56,0.00191281,,,
0.58000000000000007,0.00197912,,,
0.6,0.00204533,,,
0.62,0.00211178,,,
0.64,0.00217615,,,
0.66,0.00224061,,,
0.68,0.00230585,,,
0.70000000000000007,0.00237125,,,
0.72000000000000008,0.00243739,,,
0.74,0.00250074,,,
0.76,0.00256426,,,
0.78,0.0026287800000000003,,,
0.8,0.00269331,,,
0.82000000000000006,0.00275805,,,
0.84000000000000008,0.00282079,,,
0.86,0.0028836400000000002,,,
0.88,0.00294686,,,
0.9,0.00301065,,,
0.92,0.00307436,,,
0.94000000000000006,0.0031358000000000002,,,
0.96000000000000008,0.00319685,,,
0.98000000000000009,0.00326002,,,
1,0.0033225900000000003,,,
